,id_code,Condition,complete_AF_removal,complete_segmentation,regions
1,2311,wt_ctr,True,True,True
2,2303,wt_ctr,True,True,True
3,2403,wt_TT,True,True,True
4,2337,wt_ctr,True,True,False
5,2397,wt_TT,True,False,True
6,2404,wt_TT,True,True,False
7,2405,wt_TT,True,True,True
8,2312,wt_ctr,True,True,False
9,2406,wt_TT,True,True,True
10,2426,wt_TT,True,True,True
11,2294,wt_ctr,True,False,True
12,2419,ko_TT,True,False,True
13,2429,ko_TT,True,False,True
15,2416,ko_ctr,True,True,True
16,2430,ko_TT,True,False,True
18,2393,ko_ctr,True,True,True
19,2300,ko_ctr,True,False,True
20,2432,ko_ctr,True,False,False
21,2427,ko_ctr,True,False,True
23,2338,ko_ctr,True,False,True
24,2255,res_ctr,True,False,True
25,2256,res_ctr,True,False,True
26,2407,res_TT,False,False,True
27,2417,res_TT,True,True,True
28,2304,res_ctr,True,True,False
29,2314,res_ctr,True,True,True
30,2339,res_ctr,True,False,False
31,2305,res_ctr,True,False,True
32,2408,res_TT,True,True,False
33,2420,res_TT,True,False,True
34,2268,res_ctr,True,False,True
36,2418,res_TT,True,True,True
